puma,safety_pedhospital
03701,
03702,22.97
03703,13.29
03704,24.73
03705,36.19
03706,17.23
03707,21.06
03708,19.8
03709,12.77
03710,31.31
03801,13.68
03802,10.89
03803,16.42
03804,29.87
03805,11.37
03806,10.04
03807,7.1
03808,12.61
03809,10.41
03810,
03901,16.23
03902,18.18
03903,30.16
04001,15.6
04002,13.32
04003,8.5
04004,13.05
04005,10.51
04006,22.84
04007,37.01
04008,25.15
04009,14.98
04010,17.39
04011,16.26
04012,15.05
04013,12.85
04014,20.9
04015,16.81
04016,16.91
04017,14.29
04018,16.3
04101,12.04
04102,11.07
04103,21.83
04104,8.59
04105,6.36
04106,12.57
04107,17.38
04108,17.66
04109,20.32
04110,10.64
04111,23.03
04112,19.92
04113,10.62
04114,14.79
